hour,heating_c,cooling_c,reason
683,22.0,24.0,verified autonomous action
684,22.0,24.0,verified autonomous action
685,22.0,24.0,verified autonomous action
686,22.0,24.0,verified autonomous action
687,22.0,24.0,verified autonomous action
688,22.0,24.0,verified autonomous action
689,22.0,24.0,verified autonomous action
690,22.0,24.0,verified autonomous action
691,22.0,24.0,verified autonomous action
692,22.0,24.0,verified autonomous action
693,16.7,29.4,verified autonomous action
694,16.7,29.4,verified autonomous action
695,16.7,29.4,verified autonomous action
696,16.7,29.4,verified autonomous action
697,16.7,29.4,verified autonomous action
698,16.7,29.4,verified autonomous action
699,16.7,29.4,verified autonomous action
700,16.7,29.4,verified autonomous action
701,16.7,29.4,verified autonomous action
702,16.7,29.4,verified autonomous action
703,22.0,24.0,verified autonomous action
704,22.0,24.0,verified autonomous action
705,22.0,24.0,verified autonomous action
706,22.0,24.0,verified autonomous action
707,22.0,24.0,verified autonomous action
708,22.0,24.0,verified autonomous action
709,22.0,24.0,verified autonomous action
710,22.0,24.0,verified autonomous action
711,22.0,24.0,verified autonomous action
712,22.0,24.0,verified autonomous action
713,22.0,24.0,verified autonomous action
714,22.0,24.0,verified autonomous action
715,22.0,24.0,verified autonomous action
716,22.0,24.0,verified autonomous action
717,16.7,29.4,verified autonomous action
718,16.7,29.4,verified autonomous action
719,16.7,29.4,verified autonomous action
720,16.7,29.4,verified autonomous action
721,16.7,29.4,verified autonomous action
722,16.7,29.4,verified autonomous action
723,16.7,29.4,verified autonomous action
724,16.7,29.4,verified autonomous action
725,16.7,29.4,verified autonomous action
726,16.7,29.4,verified autonomous action
727,16.7,29.4,verified autonomous action
728,16.7,29.4,verified autonomous action
729,16.7,29.4,verified autonomous action
730,16.7,29.4,verified autonomous action
731,16.7,29.4,verified autonomous action
732,16.7,29.4,verified autonomous action
733,16.7,29.4,verified autonomous action
734,16.7,29.4,verified autonomous action
735,16.7,29.4,verified autonomous action
736,16.7,29.4,verified autonomous action
737,16.7,29.4,verified autonomous action
738,16.7,29.4,verified autonomous action
739,16.7,29.4,verified autonomous action
